Item,Category,Subcategory,Value
S,C,X,26
P,A,Z,96
T,C,Y,34
R,A,Y,41
P,B,Z,84
S,B,X,22
S,B,X,31
T,B,Z,48
R,A,Z,31
S,B,Y,28
T,A,X,57
T,C,X,97
R,A,Y,98
R,A,X,88
S,B,Y,64
P,B,X,71
P,C,Z,28
Q,A,Y,72
Q,B,Z,11
S,C,Z,44
Q,A,Z,54
R,B,X,69
Q,B,X,37
P,B,X,65
T,C,Z,71
R,B,X,59
S,C,X,85
Q,C,Z,98
Q,C,Y,49
R,C,Y,88
T,B,Z,78
Q,A,Y,46
Q,C,Z,40
T,C,Z,60
T,C,Z,99
P,A,Y,31
P,C,X,38
T,A,X,77
T,C,Y,50
Q,A,Z,64
P,A,Y,79
T,B,Z,97
Q,B,X,60
S,A,X,97
T,B,Y,89
T,A,Y,26
S,A,Y,56
R,B,Y,46
T,B,Z,56
Q,A,Y,87
R,C,Y,48
Q,A,Y,28
S,C,Z,55
P,B,X,52
T,B,Y,75
T,A,Z,44
R,C,Y,65
Q,A,Z,36
T,B,X,87
R,A,Z,100
R,A,Z,77
P,C,Z,16
P,A,Y,89
Q,B,Y,27
S,B,Y,11
S,B,Y,87
R,A,Y,53
R,A,X,78
T,B,Y,36
P,A,X,27
S,B,Z,44
T,B,Y,47
P,A,Y,94
Q,B,X,27
Q,C,Z,86
S,C,Z,46
R,A,Z,95
T,A,X,20
R,B,Y,98
Q,B,Z,94
T,A,X,93
T,B,X,37
Q,A,Y,51
Q,C,Y,89
T,B,Z,87
S,B,Z,87
Q,B,Y,66
P,A,Z,24
S,C,X,29
R,A,Y,48
R,B,Y,42
S,C,Z,23
S,C,X,56
T,A,Z,85
T,C,Z,58
T,B,X,46
T,A,X,29
S,A,Z,68
P,B,Y,58
T,B,Z,65
